         37660 function calls (36990 primitive calls) in 0.029 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       20    0.000    0.000    0.001    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       43    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       58    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    25/20    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       45    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      123    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
      155    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
      116    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      113    0.000    0.000    0.000    0.000 _parser.py:176(append)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       42    0.000    0.000    0.000    0.000 enum.py:726(__call__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      116    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       27    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       84    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       42    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      288    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        1    0.000    0.000    0.009    0.009 utils.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       36    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       27    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       82    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
       22    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      116    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       15    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       45    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       18    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       16    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
       20    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
    14/11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      127    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        7    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       78    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
       84    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       77    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       49    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       20    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        9    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      112    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       58    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       21    0.000    0.000    0.003    0.000 __init__.py:226(compile)
       35    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       58    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       59    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x723ac214fba0}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       40    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.012    0.012 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        3    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 client.py:257(HTTPResponse)
       20    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:824(SpooledTemporaryFile)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       50    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        6    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       18    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 client.py:837(HTTPConnection)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
