         143478 function calls (138828 primitive calls) in 0.089 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      185    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      213    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       47    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.012    0.012 url.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      197    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       71    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       70    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      214    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       18    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        2    0.000    0.000    0.001    0.001 connection.py:1(<module>)
        2    0.000    0.000    0.046    0.023 exceptions.py:1(<module>)
       48    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       50    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:1449(__getitem__)
    39/15    0.000    0.000    0.043    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.006    0.006 connectionpool.py:1(<module>)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       26    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       74    0.000    0.000    0.023    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.017    0.017 client.py:1(<module>)
      140    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      134    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       29    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      127    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      383    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       82    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        8    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       70    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        8    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        7    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.014    0.014 ssl_.py:1(<module>)
        1    0.000    0.000    0.009    0.009 cookiejar.py:1(<module>)
      155    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      176    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       10    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
     17/7    0.000    0.000    0.061    0.009 {built-in method builtins.__import__}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
    48/27    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.000    0.000 mbcssm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:512(AddressList)
      136    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       71    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      105    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.002    0.002 adapters.py:1(<module>)
        1    0.000    0.000    0.004    0.004 sbcsgroupprober.py:1(<module>)
      303    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
